"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"469";1995-10-01;19,8;"001688536";"15-24 ans"
"470";1995-07-01;19,3;"001688536";"15-24 ans"
"471";1995-04-01;20;"001688536";"15-24 ans"
"472";1995-01-01;20,8;"001688536";"15-24 ans"
"473";1994-10-01;21,3;"001688536";"15-24 ans"
"474";1994-07-01;21,9;"001688536";"15-24 ans"
"475";1994-04-01;22,3;"001688536";"15-24 ans"
"476";1994-01-01;21,8;"001688536";"15-24 ans"
"477";1993-10-01;21,1;"001688536";"15-24 ans"
"478";1993-07-01;20,7;"001688536";"15-24 ans"
"479";1993-04-01;19,9;"001688536";"15-24 ans"
"480";1993-01-01;19;"001688536";"15-24 ans"
"481";1992-10-01;18,3;"001688536";"15-24 ans"
"482";1992-07-01;17,6;"001688536";"15-24 ans"
"483";1992-04-01;16,8;"001688536";"15-24 ans"
"484";1992-01-01;16,5;"001688536";"15-24 ans"
"485";1991-10-01;16,1;"001688536";"15-24 ans"
"486";1991-07-01;16;"001688536";"15-24 ans"
"487";1991-04-01;15,6;"001688536";"15-24 ans"
"488";1991-01-01;15,2;"001688536";"15-24 ans"
"489";1990-10-01;15,2;"001688536";"15-24 ans"
